After Hours Change (Realtime),Annualized Gain,Ask,Ask (Realtime),Ask Size,Average Daily Volume,Bid,Bid (Realtime),Bid Size,Book Value Per Share,Change,Change Change In Percent,Change From Fiftyday Moving Average,Change From Two Hundredday Moving Average,Change From Year High,Change From Year Low,Change In Percent,Change In Percent (Realtime),Change (Realtime),Commission,Currency,Days High,Days Low,Days Range,Days Range (Realtime),Days Value Change,Days Value Change (Realtime),Dividend Pay Date,Trailing Annual Dividend Yield,Trailing Annual Dividend Yield In Percent,Diluted E P S,E B I T D A,E P S Estimate Current Year,E P S Estimate Next Quarter,E P S Estimate Next Year,Ex Dividend Date,Fiftyday Moving Average,Shares Float,High Limit,Holdings Gain,Holdings Gain Percent,Holdings Gain Percent (Realtime),Holdings Gain (Realtime),Holdings Value,Holdings Value (Realtime),Last Trade Date,Last Trade Price Only,Last Trade (Realtime) With Time,Last Trade Size,Last Trade Time,Last Trade With Time,Low Limit,Market Capitalization,Market Cap (Realtime),More Info,Name,Notes,Oneyr Target Price,Open,Order Book (Realtime),P E G Ratio,P E Ratio,P E Ratio (Realtime),Percent Change From Fiftyday Moving Average,Percent Change From Two Hundredday Moving Average,Change In Percent From Year High,Percent Change From Year Low,Previous Close,Price Book,Price E P S Estimate Current Year,Price E P S Estimate Next Year,Price Paid,Price Sales,Revenue,Shares Owned,Shares Outstanding,Short Ratio,Stock Exchange,Symbol,Ticker Trend,Trade Date,Trade Links,Trade Links Additional,Two Hundredday Moving Average,Volume,Year High,Year Low,Year Range
,,,,200.0,12293300.0,,,100.0,1.1,1.68,,3.06,0.54,-8.76,15.79,0.0279,,,,,,,,,,,,,,,6710000000.0,4.34,1.06,4.98,,58.94,1590683000.0,,,,,,,,,62.0,,381351.0,,,,98820000000.0,,,,,69.08,,,0.86,,,0.0519,0.0088,-0.12380000000000001,0.3417,,55.09,14.29,12.45,,4.82,19960000000.0,,1593886000.0,1.4,,,,,,,61.46,,,,
,,,,200.0,2972440.0,,,2000.0,20.04,-0.28,,-0.54,-6.15,-23.78,2.38,-0.012700000000000001,,,,,,,,,,,,,,,409860000.0,0.99,-0.02,1.22,,22.26,68365000.0,,,,,,,,,21.72,,57530.0,,,,1510000000.0,,,,,23.38,,,1.4,,,-0.0242,-0.2208,-0.5226,0.1231,,1.1,21.94,17.8,,0.41,3740000000.0,,69548000.0,5.1,,,,,,,27.87,,,,
,,,,100.0,19524.0,,,400.0,0.0,-0.08,,0.69,0.7,-0.33,1.17,-0.0072,,,,,,,,,,,,,,,0.0,,0.0,,,10.28,,,,,,,,,,10.97,,200.0,,,,,,,,,,,,0.0,,,0.0676,0.0683,-0.0292,0.11939999999999999,,,,,,,,,,0.0,,,,,,,10.27,,,,
,,,,100.0,26713.0,,,100.0,0.0,0.05,,0.43,1.08,-0.08,2.1,0.006,,,,,,,,,,,,,,,0.0,,0.0,,,7.97,,,,,,,,,,8.4,,100.0,,,,,,,,,,,,0.0,,,0.0538,0.14800000000000002,-0.0094,0.3333,,,,,,,,,,0.0,,,,,,,7.32,,,,
,,,,100.0,10356.0,,,100.0,0.0,0.03,,0.03,-0.38,-1.86,0.4,0.0026000000000000003,,,,,,,,,,,,,,,0.0,,0.0,,,11.53,,,,,,,,,,11.56,,100.0,,,,,,,,,,,,0.0,,,0.0027,-0.031400000000000004,-0.1386,0.0358,,,,,,,,,,0.0,,,,,,,11.94,,,,
,,,,100.0,231479.0,,,100.0,17.58,-0.54,,0.76,3.24,-0.84,7.67,-0.0167,,,,,,,,,,,,,,,185500000.0,1.79,0.5,1.91,,31.13,52305000.0,,,,,,,,,31.89,,20538.0,,,,1790000000.0,,,,,33.71,,,3.07,,,0.0244,0.11320000000000001,-0.0257,0.31670000000000004,,1.84,17.82,16.7,,0.36,5100000000.0,,55992000.0,4.6,,,,,,,28.65,,,,
,,,,100.0,380627.0,,,100.0,15.5,-0.14,,-0.96,0.78,-3.35,7.41,-0.0042,,,,,,,,,,,,,,,124630000.0,1.52,0.35,1.63,,34.43,67426000.0,,,,,,,,,33.47,,12710.0,,,,2280000000.0,,,,,35.75,,,3.06,,,-0.0279,0.0239,-0.091,0.2843,,2.17,22.02,20.53,,11.24,203740000.0,,68147000.0,5.6,,,,,,,32.69,,,,
,,,,100.0,2697630.0,,,100.0,9.56,-0.78,,3.23,8.43,-2.09,20.71,-0.008199999999999999,,,,,,,,,,,,,,,4890000000.0,4.74,1.16,5.15,,91.46,624006000.0,,,,,,,,,94.69,,148199.0,,,,59300000000.0,,,,,97.59,,,2.01,,,0.0353,0.0977,-0.0216,0.2799,,9.98,19.98,18.39,,1.93,30900000000.0,,626254000.0,7.7,,,,,,,86.26,,,,
,,,,7900.0,830926.0,,,400.0,6.09,0.12,,0.71,0.42,-0.97,2.71,0.0144,,,,,,,,,,,,,,,229200000.0,0.72,0.17,0.77,,7.77,110235000.0,,,,,,,,,8.48,,40944.0,,,,951180000.0,,,,,9.0,,,1.42,,,0.0911,0.0525,-0.1026,0.4697,,1.37,11.78,11.01,,0.56,1690000000.0,,112168000.0,10.2,,,,,,,8.06,,,,
,,,,2600.0,152361.0,,,1100.0,0.65,0.07,,-0.22,-0.01,-1.32,1.05,0.015500000000000002,,,,,,,,,,,,,,,74510000.0,0.31,0.13,0.49,,4.81,31554000.0,,,,,,,,,4.59,,10711.0,,,,219030000.0,,,,,6.13,,,0.44,,,-0.046,-0.0027,-0.22340000000000002,0.29660000000000003,,7.0,14.81,9.37,,0.31,705180000.0,,47718000.0,3.2,,,,,,,4.6,,,,
